agent,game,seed,score,max_tile,moves,corner_occupancy,snake_score
Random,53,10052,1012,64,122,0.819672131147541,0.703622214468288
Random,54,10053,1356,128,141,1.4184397163120568,0.7205596209353855
Random,55,10054,1272,128,136,5.147058823529412,0.6794592324192429
Random,56,10055,672,64,81,4.938271604938271,0.6610173307284696
Random,57,10056,692,64,91,0.0,0.6802098019885685
Random,58,10057,708,64,95,1.0526315789473684,0.700855884884179
Random,59,10058,884,64,107,1.8691588785046729,0.7084123580074583
Random,60,10059,1120,128,119,0.8403361344537815,0.6970334530218073
Random,61,10060,2824,256,229,4.366812227074236,0.7145297238449969
Random,62,10061,1412,128,146,2.73972602739726,0.673428184903663
Random,63,10062,1356,128,141,0.0,0.6854376206736156
Random,64,10063,1464,128,155,1.935483870967742,0.6739511748476521
Random,65,10064,1156,128,122,0.819672131147541,0.6842270594317701
Random,66,10065,568,64,77,9.090909090909092,0.6889328055962454
Random,67,10066,396,32,66,0.0,0.7044256787494584
Random,68,10067,868,64,104,1.9230769230769231,0.6513893814087266
Random,69,10068,1072,128,114,0.0,0.666161469132961
Random,70,10069,772,64,101,0.0,0.6898052184737629
Random,71,10070,752,64,97,1.0309278350515463,0.6811777556456583
Random,72,10071,2220,256,185,0.0,0.6680067860382399
Random,73,10072,424,32,69,0.0,0.687694111883245
Random,74,10073,720,64,87,2.2988505747126435,0.7055800871583687
Random,75,10074,684,64,90,2.2222222222222223,0.6565045511355445
Random,76,10075,1372,128,138,2.898550724637681,0.683207317543656
Random,77,10076,1716,128,172,1.744186046511628,0.7314911506989367
Random,78,10077,672,64,93,6.451612903225806,0.6835727848671799
Random,79,10078,404,32,67,2.985074626865672,0.650937581725758
Random,80,10079,1024,64,120,15.0,0.71384003563762
Random,81,10080,2356,256,201,0.4975124378109453,0.7006347538000677
Random,82,10081,1388,128,147,1.3605442176870748,0.7024534934772791
Random,83,10082,668,64,89,6.741573033707865,0.6726364005062465
Random,84,10083,1568,128,154,0.0,0.6761152315030405
Random,85,10084,704,64,94,3.1914893617021276,0.6795150567585306
Random,86,10085,1084,64,126,1.5873015873015872,0.6920997098194632
Random,87,10086,1236,128,128,7.03125,0.6611383362154241
Random,88,10087,556,64,78,0.0,0.6832164356311657
Random,89,10088,2148,256,179,1.675977653631285,0.6608513422503742
Random,90,10089,1436,128,149,2.0134228187919465,0.6962319127614437
Random,91,10090,628,64,84,0.0,0.6816168342068282
Random,92,10091,2316,256,194,6.701030927835052,0.6836665490024361
Random,93,10092,396,32,69,1.4492753623188406,0.6888238821080968
Random,94,10093,1132,128,121,11.570247933884298,0.6876892663648486
